routerproto,juggler,goodput,throughput,fct,meanNetworkUtilization
ps-mptcp,true,247857.86900324345,721701.1182649949,2.0657,0.9643632342876989
ps-mptcp,true,908929.52245695,1016532.9309426593,0.5633,1
ps-mptcp,true,245634.23527154097,669008.82748033,2.0844,0.970611643533818
ps-mptcp,true,252365.93059936908,755279.9684542587,2.0288,0.9090737596679872
ps-mptcp,true,247295.20865533233,697269.1267387945,2.0704,0.9344498469295875
ps-mptcp,true,253653.70324498392,693941.0453306912,2.0185,0.9393383142832589
ps-mptcp,true,256371.73902158128,689020.5798407691,1.9971,0.9233861655217603
ps-mptcp,true,165363.99457399393,456662.3603126413,3.0962,0.8729616295639209
ps-mptcp,true,281210.5234250563,792265.6121272038,1.8207,0.9017216875280506
ps-mptcp,true,271430.8434501405,721347.6117266606,1.8863,0.961686132252979
ps-mptcp,true,266486.23327955033,523534.58595742466,1.9213,0.9487077306621865
ps-mptcp,true,264517.4622855962,673965.6953916098,1.9356,0.9210206509970225
ps-mptcp,true,260546.53707190472,663759.6051091547,1.9651,0.9445354582319077
ps-mptcp,true,264613.15830275463,529215.9801540131,1.9349,0.9210394240953765
ps-mptcp,true,212960.65219199736,557147.4918891939,2.4042,0.9276307002214974
ps-mptcp,true,338646.73589523113,814675.5737813347,1.5119,0.9346842879012466
ps-mptcp,true,834964.1226353556,931991.1937377692,0.6132,1
ps-mptcp,true,408586.70497167023,937311.46756045,1.2531,0.9619352928448599
ps-mptcp,true,358192.24849587237,940856.3033440604,1.4294,0.9991198226875964
ps-mptcp,true,353176.519279851,881465.1307167,1.4497,0.9478337741653518
ps-mptcp,true,260931.60737947203,628324.3298338599,1.9622,0.9223918305597579
ps-mptcp,true,255680.39950062422,621607.9900124844,2.0025,0.9202147347306712
ps-mptcp,true,257506.41251320223,875971.4328823618,1.9883,0.9799935958009951
ps-mptcp,true,247534.32604912008,658909.7853413266,2.0684,0.9638908002752395
ps-mptcp,true,253867.51289170966,793846.6878222928,2.0168,0.948703910404039
ps-mptcp,true,238028.8238028824,608341.7015341702,2.151,0.9288440009319823
ps-mptcp,true,238350.16991760163,589907.3599925516,2.1481,0.885181871892627
ps-mptcp,true,243739.8838427116,729389.6981814719,2.1006,0.9681621588847851
ps-mptcp,true,243484.87730644856,503103.9566292563,2.1028,0.9656325658382332
ps-mptcp,true,235250.87300128653,398883.0178276052,2.1764,0.9188485899228681
ps-mptcp,true,301655.5706121487,735147.5873446062,1.6973,0.9389337962472173
ps-mptcp,true,284935.1661194279,758425.0653903945,1.7969,0.8380862263986775
ps-mptcp,true,268865.19981095416,739285.8268130021,1.9043,0.9171591225519012
ps-mptcp,true,257830.59724040687,754077.9534696344,1.9858,0.9271610150769064
ps-mptcp,true,259858.9047353195,658909.8106887277,1.9703,0.8948173422777324
ps-mptcp,true,258207.67562660747,533117.1516465782,1.9829,0.9465860645224338
ps-mptcp,true,302958.5798816568,637907.6923076924,1.69,0.9640783723803423
ps-mptcp,true,271373.29729156726,728518.577410293,1.8867,0.913190404310408
ps-mptcp,true,298768.74598821264,639929.392542452,1.7137,0.9431348148906427
ps-mptcp,true,236763.0057803468,541618.4971098265,2.1625,0.9303949586865801
ps-mptcp,true,304019.9513093047,712721.3348375987,1.6841,0.8660465356417582
ps-mptcp,true,324564.1838351823,363478.28843106184,1.5775,1
ps-mptcp,true,307396.7339097022,734286.7435158502,1.6656,0.8848982998776932
ps-mptcp,true,305817.70397801936,674489.3083263648,1.6742,0.8710580290012168
ps-mptcp,true,302761.5161729052,804790.9644610017,1.6911,0.9475645406436868
ps-mptcp,true,258077.52406875347,509500.9829124452,1.9839,0.9695112151154941
ps-mptcp,true,472979.21478060045,527699.7690531177,1.0825,1
ps-mptcp,true,311132.71754982986,708766.407389402,1.6456,0.8411125098166028
ps-mptcp,true,302976.5074856501,712643.351677614,1.6899,0.9500635032411803
ps-mptcp,true,369142.0331651045,778813.9870223504,1.387,0.9844693386493641
ps-mptcp,true,486969.7546128971,543782.5756134678,1.0514,1
ps-mptcp,true,327680,891973.12,1.5625,0.9049437165055515
ps-mptcp,true,275372.45199806377,688331.6301834023,1.8593,0.9572477173718447
ps-mptcp,true,277687.38474888814,747506.2371189933,1.8438,0.9028043414644342
ps-mptcp,true,289576.3814263899,729696.2841468243,1.7681,0.9631026785714285
ps-mptcp,true,269800.2845549876,696917.8479211677,1.8977,0.8770581589025981
ps-mptcp,true,249148.41849148416,653700.2433090024,2.055,0.9118198670901857
ps-mptcp,true,438356.1643835617,834424.6575342467,1.168,0.9804098108827746
ps-mptcp,true,373640.8085820623,760685.2514048018,1.3703,0.9591918938506997
ps-mptcp,true,291472.1621313902,763102.5845383126,1.7566,0.9012933012933012
ps-mptcp,true,274178.00149941095,671136.874799186,1.8674,0.8770261447185398
ps-mptcp,true,430288.2595176065,890753.8448609128,1.1899,0.9609724036016221
ps-mptcp,true,334553.058024046,857341.8714061683,1.5304,0.8695282262560192
ps-mptcp,true,302528.9529662019,786988.8915150083,1.6924,0.9089421069976931
ecmp-mptcp,false,305325.3026417795,355093.92331087124,1.6769,0.8453488966370998
ecmp-mptcp,false,302886.8906767629,361837.4349266446,1.6904,0.7883957020736876
ecmp-mptcp,false,295663.22111220186,678536.6980423861,1.7317,0.8105826101376374
ecmp-mptcp,false,295066.85108344856,559605.2328261872,1.7352,0.5361492698946243
ecmp-mptcp,false,292471.1527476294,743538.2154689821,1.7506,0.598178885889354
ecmp-mptcp,false,294100.7524843472,436301.91280372225,1.7409,0.8538725006521272
ecmp-mptcp,false,308638.2542648743,367128.21749351977,1.6589,0.9569277326134982
ecmp-mptcp,false,312958.435207824,350644.8655256724,1.636,1
ecmp-mptcp,false,312423.7246765926,391112.3993165731,1.6388,0.6518327855248386
ecmp-mptcp,false,310566.5413077763,365938.9785272352,1.6486,0.6638690324227725
ecmp-mptcp,false,300029.2997363024,650651.6261353649,1.7065,0.8970428303989785
ecmp-mptcp,false,344201.6806722689,387602.6890756302,1.4875,1
ecmp-mptcp,false,298699.0257277872,365818.213639811,1.7141,0.7571336459837621
ecmp-mptcp,false,292805.6731099165,597253.8030424339,1.7486,0.8080766771460542
ecmp-mptcp,false,464778.5039941903,518090.95860566455,1.1016,1
ecmp-mptcp,false,368345.32374100725,515635.9712230216,1.39,0.5741756887431031
ecmp-mptcp,false,396223.4948150441,699527.9368518805,1.2922,0.7053007724732141
ecmp-mptcp,false,371256.6166340367,658154.5935755203,1.3791,0.8182276217182933
ecmp-mptcp,false,282857.30070161866,322198.2210927573,1.8101,0.7987659900840934
ecmp-mptcp,false,346648.61205145565,545129.9932295192,1.477,0.7828641726266886
ecmp-mptcp,false,344897.2718086898,682010.10441226,1.4845,0.7391631342993246
ecmp-mptcp,false,308025.5083624113,639371.9167368548,1.6622,0.6860353738371425
ecmp-mptcp,false,288126.05514912773,336873.3821046708,1.777,0.7076134547552178
ecmp-mptcp,false,295424.38405169925,342427.4421556748,1.7331,0.7008344434052283
ecmp-mptcp,false,295083.8568382226,494708.08598928014,1.7351,0.840080653314312
ecmp-mptcp,false,293359.307855383,342673.4658797914,1.7453,0.6881083543884355
ecmp-mptcp,false,290414.066931367,342524.67385138967,1.763,0.7068440397040922
ecmp-mptcp,false,283013.6531977226,388933.17119009455,1.8091,0.6806494335838247
ecmp-mptcp,false,311076.0070478158,380374.8708913057,1.6459,0.7286567907671823
ecmp-mptcp,false,320240.1801351013,440706.7800850638,1.5988,0.5780825312260433
ecmp-mptcp,false,310077.51937984495,364828.60949612403,1.6512,0.6518010941165269
ecmp-mptcp,false,309234.7647520686,462654.4663888386,1.6557,0.5248066157760815
ecmp-mptcp,false,360919.2161285775,402302.9747638517,1.4186,1
ecmp-mptcp,false,312099.96952148736,361412.9838463883,1.6405,0.7729688151856486
ecmp-mptcp,false,325347.90620829887,388026.3074283535,1.5737,0.67984827365074
ecmp-mptcp,false,320581.0531588504,376179.9511614802,1.5971,0.8683794409273553
ecmp-mptcp,false,335715.69077437546,392450.9868205364,1.5251,0.6545255915069703
ecmp-mptcp,false,324173.73686209955,472890.97125490697,1.5794,0.8081616717677659
ecmp-mptcp,false,302475.335263189,711679.5651917055,1.6927,0.6729755785499232
ecmp-mptcp,false,320922.65262630064,608215.4945468222,1.5954,0.7061103368734682
ecmp-mptcp,false,310021.1928549803,457959.43082046625,1.6515,0.6086342043240461
ecmp-mptcp,false,313552.57517300505,575362.8513687304,1.6329,0.6970111194908395
ecmp-mptcp,false,330834.84104419744,387352.6751098475,1.5476,0.5801435777135182
ecmp-mptcp,false,325285.89580686146,374912.3252858958,1.574,0.8683199872866766
ecmp-mptcp,false,319361.2774451098,379042.5399201597,1.6032,0.7455037736404589
ecmp-mptcp,false,322865.43069743976,385141.2536259301,1.5858,0.8258696040198396
ecmp-mptcp,false,315601.3067866609,364213.15416384145,1.6223,0.5212730480811645
ecmp-mptcp,false,329451.1292709607,383168.39328228554,1.5541,0.6072133621568707
ecmp-mptcp,false,285157.3377889167,514925.6474519632,1.7955,0.6762592083074466
ecmp-mptcp,false,286433.56643356645,498024.6153846154,1.7875,0.7064244619646282
ecmp-mptcp,false,373477.2777007805,437940.76883798966,1.3709,0.7693381139348212
ecmp-mptcp,false,307101.72744721686,360021.59309021116,1.6672,0.6332881759365939
ecmp-mptcp,false,340516.0947060388,415595.2380952381,1.5036,0.5583873054679849
ecmp-mptcp,false,284570.92040907074,327931.302801245,1.7992,0.7850440678687756
ecmp-mptcp,false,313494.979181974,374895.9098701935,1.6332,0.8542996829932581
ecmp-mptcp,false,322032.8322536008,382055.4751871187,1.5899,0.8427257794204153
ecmp-mptcp,false,237520.8758582297,605370.1985526071,2.1556,0.7288813389032838
ecmp-mptcp,false,236883.50143425557,677755.1586934394,2.1614,0.7661895431576776
ecmp-mptcp,false,238394.56162406295,654641.7097359967,2.1477,0.7228899879479707
ecmp-mptcp,false,235391.47625396535,405913.29134292674,2.1751,0.7592654086417225
ecmp-mptcp,false,235608.11743592104,601334.4991026644,2.1731,0.5907612946079429
ecmp-mptcp,false,236413.16895230178,586537.3782148958,2.1657,0.6943380193662725
ecmp-mptcp,false,235705.7361200626,605613.6635668906,2.1722,0.654006755939727
ecmp-mptcp,false,237322.70325391676,608892.1850375452,2.1574,0.5313040937693403
ecmp-mptcp,false,233576.6423357664,598234.4890510949,2.192,0.8210157309532086
ecmp-mptcp,false,236424.08570373108,620068.3413372737,2.1656,0.8101313316744679
ecmp-mptcp,false,237223.74090719546,663101.515081314,2.1583,0.896023267734507
ecmp-mptcp,false,238794.83233058162,612689.7066368173,2.1441,0.560640596413891
ecmp-mptcp,false,212315.98590089154,592894.8787061995,2.4115,0.841970199074811
ecmp-mptcp,false,237675.23906786743,596505.4312505802,2.1542,0.7027888025580362
ps-mptcp,false,320560.98171800654,568746.5564738292,1.5972,0.9583386303250657
ps-mptcp,false,335385.82470850257,377309.7078475043,1.5266,1
ps-mptcp,false,325575.4800966552,522796.6425028615,1.5726,0.9389049849061876
ps-mptcp,false,325327.23344770615,374413.5214131402,1.5738,0.9281137579304826
ps-mptcp,false,352811.4663726571,395093.02646086,1.4512,1
ps-mptcp,false,316498.73276874574,365645.05161649256,1.6177,0.9356338856936772
ps-mptcp,false,329091.1428204139,572502.2496464842,1.5558,0.9558394360705278
ps-mptcp,false,318963.3690505856,742179.1677049589,1.6052,0.9281154246987389
ps-mptcp,false,324255.85813806206,569215.9594680178,1.579,0.9275125429932789
ps-mptcp,false,322967.2617170252,365675.8973065035,1.5853,0.8772206451144294
ps-mptcp,false,315737.54316724226,469638.0118401579,1.6216,0.9264293721973094
ps-mptcp,false,326197.7573904179,655168.1957186544,1.5696,0.9957494528245081
ps-mptcp,false,326176.97649232333,377578.5181881888,1.5697,0.9470928132899964
ps-mptcp,false,328605.3526731275,431186.0599448046,1.5581,0.9415779286595269
ps-mptcp,false,232780.1773130257,500554.6715162537,2.1995,0.932865879821842
ps-mptcp,false,236806.80819573562,578146.2467045927,2.1621,0.9320323014804845
ps-mptcp,false,229895.37964168648,527451.8432041669,2.2271,0.9814414988916219
ps-mptcp,false,231213.87283236996,492490.9682080925,2.2144,0.9345587729160452
ps-mptcp,false,229709.72228453498,521309.61460810265,2.2289,0.9845268351024069
ps-mptcp,false,229483.21455784142,574898.4805701224,2.2311,0.9301098068485095
ps-mptcp,false,228001.4250089063,604031.8845742786,2.2456,0.9471440334568464
ps-mptcp,false,226628.895184136,661111.0127478754,2.2592,0.9393776099622415
ps-mptcp,false,235283.30499517487,498584.16433068336,2.1761,0.9622676837288925
ps-mptcp,false,232325.98239404662,421450.6761049097,2.2038,0.957025363455868
ps-mptcp,false,229493.50067234426,598281.4881219184,2.231,0.9291345960597288
ps-mptcp,false,240714.62153267514,609566.5256229432,2.127,0.8879658229696907
ps-mptcp,false,232759.01259262627,601772.969041233,2.1997,0.8828825663527954
